,12/1/2011,12/2/2011,12/3/2011,12/5/2011,12/6/2011,12/7/2011,12/8/2011,12/9/2011,12/10/2011,12/12/2011,12/13/2011,12/14/2011,12/15/2011,12/16/2011,12/17/2011,12/19/2011,12/20/2011,12/21/2011,12/22/2011,12/23/2011,1/4/2012,1/5/2012,1/6/2012,1/7/2012,1/9/2012,1/10/2012,1/11/2012,1/12/2012,1/13/2012,1/14/2012,1/16/2012,1/17/2012,1/18/2012,1/19/2012,1/20/2012,1/21/2012,1/23/2012,1/24/2012,1/25/2012,1/26/2012,1/27/2012,1/28/2012,1/30/2012,1/31/2012,2/1/2012,2/2/2012,2/3/2012,2/4/2012,2/6/2012,2/7/2012,2/8/2012,2/9/2012,2/10/2012,2/11/2012,2/13/2012,2/14/2012,2/15/2012,2/16/2012,2/17/2012,2/18/2012,2/20/2012,2/21/2012,2/22/2012,2/23/2012,2/24/2012,2/25/2012,2/27/2012,2/28/2012,2/29/2012,3/1/2012,3/2/2012,3/3/2012,3/5/2012,3/6/2012,3/7/2012,3/8/2012,3/9/2012,3/10/2012,3/12/2012,3/13/2012,3/14/2012,3/15/2012,3/16/2012,3/17/2012,3/19/2012,3/20/2012,3/21/2012,3/22/2012,3/23/2012,3/24/2012,3/26/2012,3/27/2012,3/28/2012,3/29/2012,3/30/2012,3/31/2012
85123A,1.61,1.6,1.82,1.84,3.6,1.84,1.86,1.86,1.55,1.79,3.6,1.83,100.8,1.8,1.84,1.8,1.87,1.77,1.86,1.8,1.84,1.61,1.78,1.57,1.77,1.81,1.98,3.59,3.5,1.54,1.82,1.85,1.86,1.87,1.82,1.81,1.55,3.52,4.02,1.62,1.86,1.85,1.54,3.57,1.83,1.81,1.82,1.78,1.86,1.81,1.82,1.81,1.56,1.79,1.77,3.55,1.87,1.6,1.61,1.85,1.86,1.83,1.83,1.57,1.83,1.87,1.82,1.8,1.86,1.84,3.54,1.79,1.8,1.84,1.86,1.78,1.8,1.63,1.86,1.8,1.84,1.54,1.82,1.86,1.83,1.86,161,1.87,1.78,1.85,1.77,1.87,1.79,1.86,1.79,1.79
84879,0.94,0.86,1.6,0.94,1.63,0.77,0.92,0.89,1.68,0.92,1.64,0.9,0.94,0.79,0.88,0.85,0,0.91,0,0.88,0.91,0.94,0.86,0.88,0.94,1.66,0.73,0.92,1.57,0.91,0.9,0.86,0.88,0.87,0.9,0.86,0.89,0.75,0.87,0.91,0.85,0.86,0.87,0.76,0.87,0.8,0.88,0.85,0.93,0.85,1.65,0.9,0.85,0.9,0.91,0.94,0.87,0.94,0.92,0.86,0.85,0.92,0.86,0.91,0.85,0.93,0.92,0.89,0.85,0.94,1.6,0.93,0.94,0.76,0.94,0.88,0.9,0.94,0.89,0.76,0.94,0.87,0.92,0.92,0.89,0.93,0.91,0.88,0.92,0.92,0.85,0.94,0.93,0.91,0.75,0.93
21212,0.67,0.68,1.88,0.8,0.6,0.84,0.85,0.85,0.78,0.81,1.82,0.82,0.66,0,0.83,0,0.6,1.88,0.83,0.8,0.84,780,0.86,0.61,0.81,1.85,0.67,0.86,0.86,0.86,0,1.82,0.62,0.85,1.76,0.6,0.78,1.78,0.84,0.64,1.82,2.92,0.84,0.83,0.86,0.81,0.63,1.84,0,0.79,2.95,0.77,0.78,0.6,0.79,0.81,0.61,0.86,2.95,0.84,0.78,0.8,0.77,0.86,0.86,0.79,0.86,1.79,0.86,0.8,0.82,0.69,0.63,2.93,0.85,0.85,0.69,0.86,0.85,0.86,0.8,0.68,0.77,3,0.87,0.82,1.84,0.8,0.8,1.8,0.78,0.84,0.84,0.85,0.85,0.83
21977,0.64,0.5,1.51,0.68,0.66,1.43,0.69,0.65,0.65,0.68,1.5,0.69,0.67,0.69,0.61,0.7,0.49,1.42,0,0,0.66,0.67,0.68,1.48,0.64,0.61,0,1.49,0.66,0.66,0,0.66,1.46,0.7,1.4,0.53,0,1.39,1.38,0.63,0.62,0,0.7,0.7,0.67,0.68,0.53,2.3,0.7,0.61,1.43,0.61,0.67,0,0,0.61,0.62,0.63,0.67,0.52,0,0.61,0.67,0,0.62,0.61,0.62,0.65,0,0.62,0.67,0.64,0.66,0.64,0.61,0.67,0.5,0.67,0,0.66,0.62,0.65,1.38,2.29,1.42,0.64,0.69,0.68,0.61,0.67,0.63,0.63,0.67,0.61,2.38,0.67
85099B,1.25,1.41,3.04,1.4,1.19,1.18,1.39,1.41,3.02,1.46,2.95,1.43,1.44,1.37,1.4,1.39,1.39,1.24,0.07,1.44,1.42,1.43,1.38,1.16,1.46,3,2.99,2.96,2.97,1.37,1.38,1.38,1.43,1.41,1.38,1.16,1.19,2.9,1.21,2.99,1.45,2.93,0,2.97,1.4,1.2,1.18,2.92,1.39,1.4,1.37,1.39,0,1.4,1.44,1.46,2.94,1.41,1.42,1.25,1.42,1.18,1.23,2.95,1.38,1.42,1.41,1.46,1.4,1.39,1.41,1.44,1.4,2.91,1.37,1.42,1.38,2.92,0,1.17,1.43,1.42,1.4,1.45,1.38,1.41,2.99,1.46,1.19,1.46,1.4,1.41,1.44,1.4,1.37,1.45
22197,0.73,0.78,1.57,0.79,1.59,0.84,0.72,0.77,1.54,0.79,1.51,0.74,0.69,0.8,0.67,0.82,1.59,0.86,0,1.54,0.78,0.77,0.66,0.79,0.78,1.59,1.53,1.57,1.52,1.54,0.65,0.8,1.54,0.85,0.81,0.85,0,1.47,1.49,0.67,0.78,0.82,0.82,1.54,0.81,1.51,0,1.55,0,0.84,0.8,0.82,0.82,1.56,0.84,1.5,0.7,0.77,0.8,0.81,79,1.51,0.67,0.7,0.78,0.86,0,1.52,0.79,0.74,0.75,0.84,0,1.51,0.86,0.84,0.78,0.77,0,0.7,0.86,0.66,0.82,0.79,0.79,0.78,1.53,0.83,0.81,0.84,0.78,0.77,1.48,0.81,0.83,0.85
22178,1.7,1.67,3.35,0,3.3,1.71,1.72,1.67,1.44,1.72,3.34,1.63,1.71,1.65,1.7,0,1.67,3.28,0,1.63,1.68,1.63,1.43,1.41,1.68,3.28,1.38,1.63,3.25,3.28,0,1.66,3.25,1.68,1.66,1.66,1.48,3.29,1.7,1.67,3.24,1.66,1.72,1.66,1.66,1.4,1.66,1.64,1.7,1.71,3.22,1.67,1.64,3.25,1.72,3.25,1.67,1.67,1.71,1.72,1.63,3.21,1.68,1.63,1.67,1.69,1.7,3.25,1.47,1.71,3.23,1.71,1.63,1.67,1.67,1.71,1.68,1.69,1.72,1.66,1.67,1.63,1.68,1.66,1.66,1.69,3.28,1.7,1.65,1.67,1.67,1.67,1.64,1.7,1.65,1.69
22616,0.48,0.46,0.5,0.48,1.28,0.49,0.5,0.53,1.31,0.46,1.35,0.48,0,0.5,1.28,0.51,1.29,0.44,0,0.5,1.35,0,0.47,1.37,0.44,0,0.46,1.35,0,0,0.44,0.44,1.33,0.46,0.51,0.45,0.52,1.33,0.44,0,0.44,0,0,0,0.45,1.33,0,0.52,0,0.47,1.3,0.49,0.33,0,0,1.25,0,0.53,0.45,0.45,0,1.28,0.49,0.53,0.49,0,0,1.31,0,0,0.45,0.46,0,1.26,0.4,0.49,0.47,0,0.44,0.48,0.45,0,1.31,0.49,0.47,0.51,0.47,1.25,0.49,1.34,0,0.52,0.46,0.46,0.48,0.46
17003,0.6,0.33,0,0.33,0.56,0.54,0,0.31,0.33,0,0.56,0,0.3,0.34,0.59,0,0,0,0,0,0,0.34,0,0,0.31,0.57,0,0.26,0,0,0,0.51,0.22,0.31,0.32,0,0,0,0,0.27,0,0,0,0.53,0.32,0.35,0,0,0,0,0,0,0,0,0,0.41,0.41,0,0.42,0.37,0.39,0,0,0,0,0,0,0,0.42,0.36,0,0,0,0,0,0.35,0,0,0.42,0,0.4,0.37,0.35,0.37,0,0.37,0,0.38,0,0,0,0,0.35,0,0,0
84077,0,0.3,0.31,0.26,0.36,0.25,0.26,0.42,0.35,0.28,0.27,0.29,0,0.32,0.33,0.23,0.4,0.31,0,0,0.35,0.32,0,0,0,0.3,0.28,0.25,0,0.28,0,0,0,0,0,0,0,0.21,0.42,0.29,0.27,320,0,0.31,0.25,0.43,0.25,0.26,0,0,0.25,0,0,0,0,0.27,0,0,0.24,0.23,0.3,0.25,0,0.26,0,0,0.33,0,0.3,0.19,0,0.28,0,0.18,0.29,0.27,0.29,0,0.27,0.28,0.31,0.33,0.24,0,0.32,0,0.24,0.29,0,0.26,0,0.29,0,0.32,0.24,0.22
